user_id,age,family_size,electricity_bill,water_usage,daily_travel_km,waste_generated,vehicle_type,total_carbon_footprint
1,42,3,1316,530,70.9,20.7,Car,1536.67
2,40,3,1384,483,6.0,28.9,Bike,1187.61
3,33,2,1123,511,10.6,17.2,Car,996.75
4,23,3,1497,547,2.9,14.0,Bike,1253.36
5,56,2,1220,228,97.6,3.9,Car,1617.46
6,58,4,1284,624,14.1,13.1,Car,1148.88
7,46,5,2141,654,8.3,21.3,Bike,1819.21
8,34,3,1499,434,64.8,40.3,Car,1658.0
9,56,6,2401,783,54.8,18.8,Electric Vehicle,2082.57
10,37,5,1516,623,19.7,29.6,Public Transport,1320.6
11,53,7,2735,719,45.6,47.4,Car,2554.4
12,36,3,1574,387,90.8,14.1,Car,1870.16
13,36,4,2008,538,1.4,32.9,Bike,1672.37
14,58,4,1346,630,47.0,27.0,Electric Vehicle,1206.68
15,74,3,1827,471,58.3,17.4,Car,1874.6
16,66,5,2156,382,28.4,35.7,Electric Vehicle,1839.83
17,35,3,1867,354,40.1,12.5,Public Transport,1663.86
18,39,4,1277,561,9.7,10.1,Bike,1113.86
19,75,4,2059,409,8.2,41.5,Public Transport,1735.37
20,19,5,2127,773,21.6,33.3,Car,1897.64
21,26,4,1592,742,16.6,5.9,Public Transport,1361.42
22,39,4,1897,684,33.5,21.8,Public Transport,1672.65
23,52,4,1439,653,17.1,35.6,Public Transport,1252.3
24,54,4,2295,564,41.8,20.0,Public Transport,2024.13
25,46,4,2008,488,80.6,24.8,Car,2167.23
26,35,5,2132,520,70.6,32.2,Car,2209.64
27,51,3,1126,512,27.4,21.8,Electric Vehicle,986.52
28,60,2,1164,380,52.4,35.9,Public Transport,1137.87
29,40,3,1920,459,74.8,20.8,Electric Vehicle,1726.63
30,37,2,1068,351,59.2,14.1,Public Transport,1069.64
31,42,6,1947,729,79.7,17.4,Electric Vehicle,1756.6
32,36,4,1858,669,77.3,19.5,Car,2020.97
